(483, 24812.3620)
(484, 24828.6421)
(485, 24838.7746)
(486, 24852.6615)
(487, 24876.9443)
(488, 24889.3915)
(489, 24901.5998)
(490, 24914.4699)
(491, 24935.1111)
(492, 24971.1531)
(493, 24991.2451)
(494, 25019.6359)
(495, 25036.7405)
(496, 25064.1331)
(497, 25092.2316)
(498, 25106.5890)
(499, 25129.2651)
(500, 25145.6046)
(501, 25185.7806)
(502, 25231.8143)
(503, 25266.8791)
(504, 25306.1612)
(505, 25324.9536)
(506, 25349.6621)
(507, 25378.2692)
(508, 25417.7513)
(509, 25436.8648)
(510, 25458.3032)
(511, 25476.2135)
(512, 25505.6641)
(513, 25522.0605)
(514, 25544.0263)
(515, 25571.7555)
(516, 25593.1694)
(517, 25609.4732)
(518, 25631.7016)
(519, 25639.9112)
(520, 25654.3210)
(521, 25668.1583)
(522, 25699.6752)
(523, 25745.7073)
(524, 25775.6347)
(525, 25813.7565)
(526, 25827.3020)
(527, 25836.5918)
(528, 25852.5472)
(529, 25948.4543)
(530, 25973.1959)
(531, 25984.3070)
(532, 26014.5329)
(533, 26031.9948)
(534, 26041.3165)
(535, 26088.0322)
(536, 26099.6392)
(537, 26117.1862)
(538, 26165.8894)
(539, 26189.6817)
(540, 26203.8141)
(541, 26221.1915)
(542, 26252.5042)
(543, 26269.8822)
(544, 26293.0746)
(545, 26318.2179)
(546, 26337.9087)
(547, 26368.9031)
(548, 26388.5071)
(549, 26427.1879)
(550, 26439.8818)
(551, 26469.7352)
(552, 26486.6751)
(553, 26505.9924)
(554, 26538.4552)
(555, 26572.1120)
(556, 26591.0990)
(557, 26609.3787)
(558, 26621.0538)
(559, 26639.9418)
(560, 26667.7782)
(561, 26684.2380)
(562, 26702.7584)
(563, 26721.3610)
(564, 26734.1733)
(565, 26774.7064)
(566, 26790.4483)
(567, 26810.6341)
(568, 26828.1631)
(569, 26848.2093)
(570, 26864.5749)
(571, 26875.6305)
(572, 26906.1165)
(573, 26925.2478)
(574, 26939.4049)
(575, 26952.5984)
(576, 26970.5390)
(577, 26991.8839)
(578, 27015.0858)
(579, 27035.3848)
(580, 27051.1622)
(581, 27074.6038)
(582, 27089.4057)
(583, 27112.9436)
(584, 27137.3259)
(585, 27158.6572)
(586, 27177.6060)
(587, 27197.9108)
(588, 27227.3331)
(589, 27279.0112)
(590, 27301.7197)
(591, 27323.4223)
(592, 27336.4559)
(593, 27393.7711)
(594, 27412.7409)
(595, 27428.3018)
(596, 27469.2879)
(597, 27489.6496)
(598, 27532.4499)
(599, 27553.8480)
(600, 27569.6692)
(601, 27587.5114)
(602, 27650.0186)
(603, 27667.5228)
(604, 27683.4429)
(605, 27690.8561)
(606, 27717.6297)
(607, 27741.6823)
(608, 27757.9043)
(609, 27788.8915)
(610, 27802.0568)
(611, 27820.3662)
(612, 27842.3865)
(613, 27861.3414)
(614, 27883.2763)
(615, 27932.5081)
(616, 27943.5376)
(617, 27987.9493)
(618, 28004.2183)
(619, 28023.5041)
(620, 28036.2741)
(621, 28048.6705)
(622, 28119.9672)
(623, 28139.8224)
(624, 28159.1730)
(625, 28181.8174)
(626, 28228.7977)
(627, 28237.3364)
(628, 28246.5915)
(629, 28266.5016)
(630, 28284.4346)
(631, 28302.3325)
(632, 28334.5463)
(633, 28356.7224)
(634, 28383.4302)
(635, 28402.4511)
(636, 28427.2786)
(637, 28453.7787)
(638, 28479.8829)
(639, 28501.4170)
(640, 28522.1070)
(641, 28540.0646)
(642, 28562.7596)
(643, 28574.9190)
(644, 28581.5259)
(645, 28597.1712)
(646, 28617.7978)
(647, 28634.3576)
(648, 28651.6185)
(649, 28674.6759)
(650, 28766.0205)
(651, 28784.9609)
(652, 28798.0256)
(653, 28806.3567)
(654, 28856.0795)
(655, 28869.9029)
(656, 28895.2893)
(657, 28990.4661)
(658, 29009.3483)
(659, 29033.8113)
(660, 29051.3104)
(661, 29060.4151)
(662, 29087.1431)
(663, 29122.3383)
(664, 29135.6957)
(665, 29159.7536)
(666, 29178.4116)
(667, 29199.8148)
(668, 29210.7045)
(669, 29226.3962)
(670, 29257.9892)
(671, 29273.1988)
(672, 29288.3083)
(673, 29312.8753)
(674, 29339.3277)
(675, 29360.6463)
(676, 29373.6114)
(677, 29387.1644)
(678, 29403.9017)
(679, 29417.7179)
(680, 29446.6533)
(681, 29469.8081)
(682, 29486.3244)
(683, 29512.8820)
(684, 29521.1053)
(685, 29537.5610)
(686, 29615.8291)
(687, 29625.9420)
(688, 29634.5110)
(689, 29647.9076)
(690, 29676.1689)
(691, 29687.7975)
(692, 29715.9836)
(693, 29735.8582)
(694, 29746.0719)
(695, 29768.4936)
(696, 29792.9746)
(697, 29944.9567)
